Region,Sub Region,Country,Year,Count,Rate
Africa,Eastern Africa,Burundi,2008,4009,0.04009
Africa,Eastern Africa,Burundi,2009,4231,0.04231
Africa,Eastern Africa,Burundi,2010,3039,0.03039
Africa,Eastern Africa,Burundi,2011,4266,0.04266
Africa,Eastern Africa,Burundi,2012,4246,0.04246
Africa,Eastern Africa,Burundi,2013,4108,0.04108
Africa,Eastern Africa,Burundi,2014,4495,0.04495
Africa,Eastern Africa,Kenya,2004,7967,0.07967
Africa,Eastern Africa,Kenya,2005,6936,0.06936
Africa,Eastern Africa,Kenya,2006,5234,0.05234
Africa,Eastern Africa,Kenya,2007,3492,0.03492
Africa,Eastern Africa,Kenya,2008,3401,0.03401
Africa,Eastern Africa,Kenya,2009,2938,0.02938
Africa,Eastern Africa,Kenya,2010,2843,0.02843
Africa,Eastern Africa,Kenya,2011,3262,0.03262
Africa,Eastern Africa,Kenya,2012,3262,0.03262
Africa,Eastern Africa,Kenya,2013,3551,0.03551
Africa,Eastern Africa,Kenya,2014,3011,0.03011
Africa,Eastern Africa,Kenya,2015,2865,0.02865
Africa,Eastern Africa,Kenya,2016,2654,0.02654
Africa,Eastern Africa,Kenya,2017,2713,0.02713
Africa,Eastern Africa,Madagascar,2010,3131,0.03131
Africa,Eastern Africa,Madagascar,2011,2272,0.02272
Africa,Eastern Africa,Madagascar,2012,2192,0.02192
Africa,Eastern Africa,Madagascar,2013,2819,0.02819
Africa,Eastern Africa,Madagascar,2014,2165,0.02165
Africa,Eastern Africa,Madagascar,2015,1741,0.01741
Africa,Eastern Africa,Mauritius,2003,855,0.00855
Africa,Eastern Africa,Mauritius,2004,1047,0.01047
Africa,Eastern Africa,Mauritius,2005,1350,0.0135
Africa,Eastern Africa,Mauritius,2006,1217,0.01217
Africa,Eastern Africa,Mauritius,2007,1633,0.01633
Africa,Eastern Africa,Mauritius,2008,1441,0.01441
Africa,Eastern Africa,Mauritius,2009,1410,0.0141
Africa,Eastern Africa,Mauritius,2010,1085,0.01085
Africa,Eastern Africa,Mauritius,2011,814,0.00814
Africa,Eastern Africa,Mozambique,2004,7534,0.07534
Africa,Eastern Africa,Mozambique,2005,6826,0.06826
Africa,Eastern Africa,Mozambique,2006,5543,0.05543
Africa,Eastern Africa,Mozambique,2007,6008,0.06008
Africa,Eastern Africa,Mozambique,2008,5744,0.05744
Africa,Eastern Africa,Mozambique,2009,5267,0.05267
Africa,Eastern Africa,Rwanda,2008,1753,0.01753
Africa,Eastern Africa,Rwanda,2009,2103,0.02103
Africa,Eastern Africa,Rwanda,2010,2072,0.02072
