region_name,sub_region_name,country_name,Year,Count,Rate
Africa,Eastern Africa,Burundi,2008,24,0.00024
Africa,Eastern Africa,Burundi,2009,31,0.00031
Africa,Eastern Africa,Burundi,2010,24,0.00024
Africa,Eastern Africa,Burundi,2011,49,0.00049
Africa,Eastern Africa,Burundi,2012,49,0.00049
Africa,Eastern Africa,Burundi,2013,58,0.00058
Africa,Eastern Africa,Burundi,2014,79,0.00079
Africa,Eastern Africa,Kenya,2004,235,0.00235
Africa,Eastern Africa,Kenya,2005,152,0.00152
Africa,Eastern Africa,Kenya,2006,220,0.0022
Africa,Eastern Africa,Kenya,2007,173,0.00173
Africa,Eastern Africa,Kenya,2008,73,0.00073
Africa,Eastern Africa,Kenya,2009,95,0.00095
Africa,Eastern Africa,Kenya,2010,79,0.00079
Africa,Eastern Africa,Kenya,2011,55,0.00055
Africa,Eastern Africa,Kenya,2012,75,0.00075
Africa,Eastern Africa,Kenya,2013,59,0.00059
Africa,Eastern Africa,Kenya,2014,33,0.00033
Africa,Eastern Africa,Kenya,2015,110,0.0011
Africa,Eastern Africa,Madagascar,2010,0,0
Africa,Eastern Africa,Madagascar,2011,1,0.00001
Africa,Eastern Africa,Madagascar,2012,1,0.00001
Africa,Eastern Africa,Madagascar,2013,6,0.00006
Africa,Eastern Africa,Madagascar,2014,14,0.00014
Africa,Eastern Africa,Madagascar,2015,11,0.00011
Africa,Eastern Africa,Mauritius,2009,34,0.00034
Africa,Eastern Africa,Mauritius,2010,35,0.00035
Africa,Eastern Africa,Mauritius,2011,50,0.0005
Africa,Eastern Africa,Rwanda,2008,8,0.00008
Africa,Eastern Africa,Rwanda,2009,8,0.00008
Africa,Eastern Africa,Rwanda,2010,12,0.00012
Africa,Eastern Africa,Rwanda,2011,12,0.00012
Africa,Eastern Africa,Rwanda,2012,10,0.0001
Africa,Eastern Africa,Rwanda,2013,21,0.00021
Africa,Eastern Africa,Uganda,2007,54,0.00054
Africa,Eastern Africa,Uganda,2008,65,0.00065
Africa,Eastern Africa,Uganda,2009,202,0.00202
Africa,Eastern Africa,Uganda,2010,150,0.0015
Africa,Eastern Africa,Uganda,2011,167,0.00167
Africa,Eastern Africa,Uganda,2012,132,0.00132
Africa,Eastern Africa,Uganda,2013,333,0.00333
Africa,Eastern Africa,Uganda,2014,223,0.00223
Africa,Eastern Africa,Uganda,2016,938,0.00938
Africa,Eastern Africa,United Republic of Tanzania,2010,0,0
Africa,Eastern Africa,United Republic of Tanzania,2011,0,0
Africa,Eastern Africa,United Republic of Tanzania,2012,0,0
Africa,Eastern Africa,United Republic of Tanzania,2013,0,0
Africa,Eastern Africa,United Republic of Tanzania,2014,0,0
Africa,Eastern Africa,United Republic of Tanzania,2015,0,0
Africa,Eastern Africa,Zimbabwe,2003,139,0.00139
Africa,Eastern Africa,Zimbabwe,2004,198,0.00198
Africa,Eastern Africa,Zimbabwe,2005,43,0.00043
Africa,Eastern Africa,Zimbabwe,2006,90,0.0009
Africa,Eastern Africa,Zimbabwe,2007,256,0.00256
Africa,Eastern Africa,Zimbabwe,2008,222,0.00222
Africa,Middle Africa,Cameroon,2010,460,0.0046
Africa,Middle Africa,Cameroon,2011,378,0.00378
Africa,Middle Africa,Cameroon,2012,532,0.00532
Africa,Middle Africa,Cameroon,2013,880,0.0088
Africa,Middle Africa,Cameroon,2014,429,0.00429
Africa,Middle Africa,Cameroon,2015,985,0.00985
Africa,Middle Africa,Cameroon,2016,572,0.00572
Africa,Middle Africa,Cameroon,2017,859,0.00859
Africa,Middle Africa,Sao Tome and Principe,2007,0,0
Africa,Middle Africa,Sao Tome and Principe,2008,0,0
Africa,Middle Africa,Sao Tome and Principe,2009,0,0
Africa,Middle Africa,Sao Tome and Principe,2010,0,0
Africa,Middle Africa,Sao Tome and Principe,2011,0,0
Africa,Northern Africa,Algeria,2003,220,0.0022
Africa,Northern Africa,Algeria,2004,149,0.00149
Africa,Northern Africa,Algeria,2005,101,0.00101
Africa,Northern Africa,Algeria,2006,302,0.00302
Africa,Northern Africa,Algeria,2007,241,0.00241
Africa,Northern Africa,Algeria,2008,205,0.00205
Africa,Northern Africa,Algeria,2009,207,0.00207
Africa,Northern Africa,Algeria,2010,177,0.00177
Africa,Northern Africa,Algeria,2011,168,0.00168
Africa,Northern Africa,Algeria,2012,106,0.00106
