Region,Sub Region,Country,Year,Count,Rate
Africa,Eastern Africa,Mauritius,2003,988,81.72083567
Africa,Eastern Africa,Uganda,2003,837,3.143683225
Africa,Eastern Africa,Zimbabwe,2003,1051,8.318890046
Africa,Northern Africa,Algeria,2003,1250,3.857606308
Africa,Northern Africa,Egypt,2003,1994,2.695252309
Africa,Northern Africa,Morocco,2003,6978,23.3816336
Africa,Southern Africa,Eswatini,2003,341,31.35943616
Americas,Central America,Costa Rica,2003,5304,128.5515579
Americas,Northern America,Bermuda,2003,1112,1714.197626
Americas,Northern America,Canada,2003,174208,550.8064644
Americas,Northern America,United States of America,2003,1261226,434.8640942
Americas,South America,Ecuador,2003,5601,42.14573485
Americas,South America,Peru,2003,8722,32.37836822
Americas,South America,Suriname,2003,71,14.53928884
Americas,South America,Uruguay,2003,4456,133.9893681
Asia,Central Asia,Kyrgyzstan,2003,219,4.369278664
Asia,Central Asia,Turkmenistan,2003,10,0.21478858
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,2003,2301,33.92518855
Asia,South-Eastern Asia,Brunei Darussalam,2003,148,41.88019435
Asia,South-Eastern Asia,Singapore,2003,1190,28.00464548
Asia,Southern Asia,Iran (Islamic Republic of),2003,81075,117.8197988
Asia,Southern Asia,Maldives,2003,261,86.36407255
Asia,Southern Asia,Sri Lanka,2003,752,3.913546632
Asia,Western Asia,Armenia,2003,124,4.108945373
Asia,Western Asia,Azerbaijan,2003,80,0.956782265
Asia,Western Asia,Georgia,2003,743,16.2259597
Asia,Western Asia,Qatar,2003,65,9.439634265
Asia,Western Asia,State of Palestine,2003,181,5.260406086
Asia,Western Asia,Syrian Arab Republic,2003,529,3.037564858
Asia,Western Asia,Turkey,2003,25443,38.49994832
Asia,Western Asia,United Arab Emirates,2003,677,18.09225822
Europe,Eastern Europe,Belarus,2003,1787,18.34692087
Europe,Eastern Europe,Bulgaria,2003,8897,114.0073766
Europe,Eastern Europe,Czech Republic,2003,25331,247.390514
Europe,Eastern Europe,Hungary,2003,12527,123.5166076
Europe,Eastern Europe,Poland,2003,54291,141.2400056
Europe,Eastern Europe,Republic of Moldova,2003,184,4.410729002
Europe,Eastern Europe,Romania,2003,1127,5.186636298
Europe,Eastern Europe,Slovakia,2003,5295,98.05762566
Europe,Eastern Europe,Ukraine,2003,7013,14.73921313
Europe,Northern Europe,Denmark,2003,23713,440.1919596
Europe,Northern Europe,Estonia,2003,460,33.50549818
Europe,Northern Europe,Finland,2003,21922,419.3910087
Europe,Northern Europe,Iceland,2003,385,133.7028394
Europe,Northern Europe,Ireland,2003,12339,304.700748
Europe,Northern Europe,Latvia,2003,3699,160.423285
Europe,Northern Europe,Lithuania,2003,7022,205.6612792
Europe,Northern Europe,Norway,2003,20130,440.4711838
Europe,Northern Europe,Sweden,2003,67199,750.7075412
Europe,Northern Europe,United Kingdom (England and Wales),2003,291858,552.1001192
Europe,Northern Europe,United Kingdom (Northern Ireland),2003,6150,360.7198913
Europe,Northern Europe,United Kingdom (Scotland),2003,17843,352.0370918
Europe,Southern Europe,Croatia,2003,2338,53.27019289
Europe,Southern Europe,Italy,2003,221543,381.0047965
Europe,Southern Europe,Malta,2003,887,219.9840778
Europe,Southern Europe,Montenegro,2003,78,12.70157646
Europe,Southern Europe,Portugal,2003,29934,285.4360395
Europe,Southern Europe,Slovenia,2003,682,34.28919061
Europe,Western Europe,Belgium,2003,32878,315.5571458
Europe,Western Europe,Germany,2003,109846,134.4726567
Europe,Western Europe,Liechtenstein,2003,22,64.10069637
Europe,Western Europe,Switzerland,2003,70713,969.7481847
Oceania,Australia and New Zealand,Australia,2003,98298,499.0513263
Africa,Eastern Africa,Kenya,2004,798,2.275129208
Africa,Eastern Africa,Mauritius,2004,1105,90.89585474
Africa,Eastern Africa,Uganda,2004,581,2.10748263
Africa,Eastern Africa,Zimbabwe,2004,1096,8.577570389
Africa,Northern Africa,Algeria,2004,1096,3.338298545
Africa,Northern Africa,Egypt,2004,2784,3.693194304
Africa,Northern Africa,Morocco,2004,7640,25.31537775
Africa,Southern Africa,Eswatini,2004,307,28.03517273
Americas,Caribbean,Barbados,2004,107,39.18107883
Americas,Caribbean,St. Vincent and the Grenadines,2004,36,33.16169088
Americas,Caribbean,Trinidad and Tobago,2004,1428,110.651784
Americas,Central America,Costa Rica,2004,4763,113.7558341
Americas,Central America,Guatemala,2004,4654,36.36811187
Americas,Central America,Mexico,2004,144457,135.0121154
Americas,Central America,Panama,2004,771,23.58129169
Americas,Northern America,Bermuda,2004,858,1318.681319
Americas,Northern America,Canada,2004,169977,532.0190976
Americas,Northern America,United States of America,2004,1237851,423.1400357
Americas,South America,Ecuador,2004,6167,45.64886114
Americas,South America,Peru,2004,10633,38.98699947
Americas,South America,Suriname,2004,40,8.103235217
Americas,South America,Uruguay,2004,4677,140.6999076
Asia,Central Asia,Kyrgyzstan,2004,238,4.724163441
Asia,Central Asia,Tajikistan,2004,41,0.610769717
Asia,Central Asia,Turkmenistan,2004,8,0.170089795
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,2004,1740,25.57846658
Asia,Eastern Asia,Japan,2004,185454,144.6445258
Asia,Eastern Asia,Mongolia,2004,61,2.443095891
Asia,South-Eastern Asia,Brunei Darussalam,2004,142,39.49677767
Asia,South-Eastern Asia,Singapore,2004,1117,25.56040677
Asia,Southern Asia,India,2004,80682,7.1645002
Asia,Southern Asia,Iran (Islamic Republic of),2004,94413,135.6175422
Asia,Southern Asia,Maldives,2004,316,101.7965808
Asia,Southern Asia,Sri Lanka,2004,822,4.243119823
Asia,Western Asia,Armenia,2004,127,4.232469909
Asia,Western Asia,Azerbaijan,2004,95,1.124409123
Asia,Western Asia,Georgia,2004,1784,39.35297879
Asia,Western Asia,Israel,2004,30850,476.9025358
Asia,Western Asia,Kuwait,2004,6,0.271746638
Asia,Western Asia,Qatar,2004,63,8.301981274
Asia,Western Asia,State of Palestine,2004,385,10.98731436
Asia,Western Asia,Syrian Arab Republic,2004,572,3.212285216
Asia,Western Asia,Turkey,2004,25667,38.30446445
Asia,Western Asia,United Arab Emirates,2004,519,12.69590901
Europe,Eastern Europe,Belarus,2004,1771,18.30131172
Europe,Eastern Europe,Bulgaria,2004,7708,99.54458482
Europe,Eastern Europe,Czech Republic,2004,24230,236.6318161
Europe,Eastern Europe,Hungary,2004,9053,89.50002477
Europe,Eastern Europe,Poland,2004,51150,133.2167728
Europe,Eastern Europe,Republic of Moldova,2004,191,4.584362715
Europe,Eastern Europe,Romania,2004,1120,5.187307178
Europe,Eastern Europe,Russian Federation,2004,71205,49.43260389
Europe,Eastern Europe,Slovakia,2004,6000,111.1230671
Europe,Eastern Europe,Ukraine,2004,5857,12.40470226
Europe,Northern Europe,Denmark,2004,20789,384.7847425
Europe,Northern Europe,Estonia,2004,628,46.05574358
Europe,Northern Europe,Finland,2004,19326,368.663067
Europe,Northern Europe,Iceland,2004,438,150.4616907
Europe,Northern Europe,Ireland,2004,14396,348.6770448
Europe,Northern Europe,Latvia,2004,3266,143.3175871
Europe,Northern Europe,Lithuania,2004,6330,187.2161812
Europe,Northern Europe,Norway,2004,17867,388.5639076
Europe,Northern Europe,Sweden,2004,60980,678.2610224
Europe,Northern Europe,United Kingdom (England and Wales),2004,242732,456.6750066
Europe,Northern Europe,United Kingdom (Northern Ireland),2004,4532,264.4042561
Europe,Northern Europe,United Kingdom (Scotland),2004,15633,307.4759554
Europe,Southern Europe,Croatia,2004,2462,56.15978394
Europe,Southern Europe,Greece,2004,17478,155.0777447
Europe,Southern Europe,Italy,2004,187300,320.1999278
Europe,Southern Europe,Malta,2004,798,197.0336315
Europe,Southern Europe,Montenegro,2004,47,7.64047501
Europe,Southern Europe,Portugal,2004,29237,277.6999978
Europe,Southern Europe,Slovenia,2004,704,35.3514811
Europe,Western Europe,Austria,2004,8156,99.25999217
Europe,Western Europe,Belgium,2004,29925,285.5407053
Europe,Western Europe,France,2004,285680,469.2000656
Europe,Western Europe,Germany,2004,107920,132.0677105
Europe,Western Europe,Liechtenstein,2004,19,54.91964389
Europe,Western Europe,Switzerland,2004,62172,846.1944998
Oceania,Australia and New Zealand,Australia,2004,87939,440.8317066
Africa,Eastern Africa,Kenya,2005,654,1.814233175
Africa,Eastern Africa,Mauritius,2005,993,81.26002964
Africa,Eastern Africa,Uganda,2005,1641,5.749031143
Africa,Eastern Africa,Zimbabwe,2005,650,5.023171504
Africa,Northern Africa,Algeria,2005,2624,7.882617018
Africa,Northern Africa,Egypt,2005,3047,3.968577049
Africa,Northern Africa,Morocco,2005,7506,24.59284684
Americas,Caribbean,Bahamas,2005,846,256.9483886
Americas,Caribbean,Barbados,2005,121,44.15913346
Americas,Caribbean,Dominican Republic,2005,2585,27.9835619
Americas,Caribbean,Grenada,2005,0,0
Americas,Caribbean,St. Vincent and the Grenadines,2005,24,22.07018318
Americas,Caribbean,Trinidad and Tobago,2005,1329,102.4724466
Americas,Central America,Belize,2005,67,23.65176135
Americas,Central America,Costa Rica,2005,5114,120.3905702
Americas,Central America,El Salvador,2005,1857,30.80132713
Americas,Central America,Guatemala,2005,4034,30.80323286
Americas,Central America,Mexico,2005,143525,132.3149737
Americas,Central America,Nicaragua,2005,285,5.298059535
Americas,Central America,Panama,2005,757,22.72955879
Americas,Northern America,Canada,2005,160014,495.5838055
Americas,Northern America,United States of America,2005,1235859,418.751428
Americas,South America,Argentina,2005,52560,134.2683479
Americas,South America,Chile,2005,12108,74.98576831
Americas,South America,Ecuador,2005,6433,46.83575444
Americas,South America,Paraguay,2005,1524,26.29629157
Americas,South America,Peru,2005,12560,45.4900887
Asia,Central Asia,Kyrgyzstan,2005,295,5.81237267
Asia,Central Asia,Tajikistan,2005,53,0.773251227
Asia,Central Asia,Turkmenistan,2005,4,0.084128329
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,2005,1568,22.96506864
Asia,Eastern Asia,Japan,2005,150883,117.5689393
Asia,Eastern Asia,Mongolia,2005,73,2.889434407
Asia,South-Eastern Asia,Brunei Darussalam,2005,163,44.6382114
Asia,South-Eastern Asia,Malaysia,2005,66927,260.8284615
Asia,South-Eastern Asia,Singapore,2005,1058,23.55800725
Asia,South-Eastern Asia,Thailand,2005,20343,31.09339528
Asia,Southern Asia,Bangladesh,2005,1061,0.73972799
Asia,Southern Asia,India,2005,85709,7.49126834
Asia,Southern Asia,Nepal,2005,26,0.101402921
Asia,Western Asia,Armenia,2005,96,3.220116065
Asia,Western Asia,Azerbaijan,2005,124,1.452227682
Asia,Western Asia,Bahrain,2005,3030,340.7679988
Asia,Western Asia,Cyprus,2005,1610,156.6669067
Asia,Western Asia,Georgia,2005,283,6.307746247
Asia,Western Asia,Israel,2005,34795,526.9598378
Asia,Western Asia,Jordan,2005,3006,52.60660845
Asia,Western Asia,Kuwait,2005,7,0.307472954
Asia,Western Asia,Qatar,2005,187,21.62192162
Asia,Western Asia,State of Palestine,2005,286,7.997382675
Asia,Western Asia,Syrian Arab Republic,2005,645,3.525628394
Asia,Western Asia,Turkey,2005,33344,49.10504784
Asia,Western Asia,United Arab Emirates,2005,520,11.35479769
Asia,Western Asia,Yemen,2005,714,3.46889439
Europe,Eastern Europe,Belarus,2005,1420,14.75854756
Europe,Eastern Europe,Bulgaria,2005,5904,76.8373517
Europe,Eastern Europe,Czech Republic,2005,23040,224.6013326
Europe,Eastern Europe,Hungary,2005,8961,88.84182912
Europe,Eastern Europe,Poland,2005,45292,118.0627019
Europe,Eastern Europe,Republic of Moldova,2005,105,2.525435343
Europe,Eastern Europe,Romania,2005,1082,5.0487569
Europe,Eastern Europe,Russian Federation,2005,67546,47.03164853
Europe,Eastern Europe,Slovakia,2005,5591,103.5569238
Europe,Eastern Europe,Ukraine,2005,6197,13.21542792
Europe,Northern Europe,Denmark,2005,16341,301.3998187
Europe,Northern Europe,Finland,2005,16791,319.2856642
Europe,Northern Europe,Iceland,2005,325,110.1773347
Europe,Northern Europe,Ireland,2005,14199,337.0300859
Europe,Northern Europe,Latvia,2005,2223,98.71300094
Europe,Northern Europe,Lithuania,2005,4541,135.7852219
Europe,Northern Europe,Norway,2005,15350,331.3642883
Europe,Northern Europe,Sweden,2005,56719,627.5181518
Europe,Northern Europe,United Kingdom (England and Wales),2005,214182,399.7771885
Europe,Northern Europe,United Kingdom (Northern Ireland),2005,4124,238.694289
Europe,Northern Europe,United Kingdom (Scotland),2005,14041,274.7641971
Europe,Southern Europe,Albania,2005,708,22.993142
Europe,Southern Europe,Bosnia and Herzegovina,2005,2321,61.37727322
Europe,Southern Europe,Croatia,2005,2274,51.94084956
Europe,Southern Europe,Greece,2005,17552,155.3108855
Europe,Southern Europe,Italy,2005,265975,452.2731865
Europe,Southern Europe,Malta,2005,672,165.1970196
Europe,Southern Europe,Montenegro,2005,121,19.63049248
Europe,Southern Europe,Portugal,2005,25733,243.5517191
Europe,Southern Europe,Serbia,2005,3719,40.35817309
Europe,Southern Europe,Slovenia,2005,873,43.73131839
Europe,Southern Europe,Spain,2005,122169,277.3880544
Europe,Southern Europe,The former Yugoslav Rep. of Macedonia,2005,567,27.52063805
Europe,Western Europe,Austria,2005,11089,134.3526803
Europe,Western Europe,Belgium,2005,26767,253.7905501
Europe,Western Europe,France,2005,260538,425.4800037
Europe,Western Europe,Germany,2005,96451,118.0966606
Europe,Western Europe,Liechtenstein,2005,13,37.30058533
Europe,Western Europe,Monaco,2005,149,440.9197171
Europe,Western Europe,Netherlands,2005,27425,167.5611612
Europe,Western Europe,Switzerland,2005,59041,796.741512
Oceania,Australia and New Zealand,Australia,2005,80365,397.0817984
Oceania,Australia and New Zealand,New Zealand,2005,23952,579.2005765
Africa,Eastern Africa,Kenya,2006,695,1.875739669
Africa,Eastern Africa,Mauritius,2006,1005,81.83386016
Africa,Eastern Africa,Uganda,2006,1206,4.081126846
Africa,Eastern Africa,Zimbabwe,2006,533,4.061179188
Africa,Middle Africa,Cameroon,2006,428,2.391119961
